
   WARN  Tests\Feature\SkillHubTest
  Γ£ô un utilisateur peut sinscrire                                                                                                                                           0.84s  
  ! linscription echoue si email deja utilise ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                 0.03s  
  ! un utilisateur peut se connecter ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                          0.02s  
  ! la connexion echoue avec mauvais mot de passe ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                             0.24s  
  ! un utilisateur connecte peut voir son profil ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.03s  
  ! le profil retourne 401 sans token ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                         0.02s  
  ! un utilisateur peut se deconnecter ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                        0.02s  
  ! un formateur peut creer une formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                     0.04s  
  ! un apprenant ne peut pas creer de formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.02s  
  ! la liste des formations est publique ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                      0.02s  
  ! on peut voir une formation existante ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                      0.02s  
  ! la vue dune formation inexistante retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                            0.02s  
  ! un formateur peut modifier sa formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                   0.02s  
  ! un formateur ne peut pas modifier la formation dun autre ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                  0.02s  
  ! un formateur peut supprimer sa formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                  0.03s  
  ! un formateur peut ajouter un module a sa formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.03s  
  ! un apprenant ne peut pas creer un module ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                  0.03s  
  ! la creation de module sans token retourne 401 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                             0.02s  
